;Characteristic1;Characteristic2;Characteristic3;Characteristic4;Characteristic5;Characteristic6;Characteristic7;Characteristic8;Characteristic9;Characteristic10;#;User 1;User 2
Item1;1;0;1;0;1;1;0;0;0;1;#;1;-1
Item2;0;1;1;1;0;0;0;1;0;0;#;-1;1
Item3;0;0;0;1;1;1;0;0;0;0;#;;
Item4;0;0;1;1;0;0;1;1;0;0;#;;1
Item5;0;1;0;0;0;0;0;0;1;1;#;;
Item6;1;0;0;1;0;0;0;0;0;0;#;1;
Item7;0;0;0;0;0;0;0;1;0;1;#;;
Item8;0;0;1;1;0;0;1;0;0;1;#;;
Item9;0;0;0;0;0;1;0;0;1;0;#;;
Item10;0;1;0;0;1;0;1;0;0;0;#;;
Item11;0;0;1;0;1;0;0;0;1;0;#;;
Item12;1;0;0;0;0;1;1;0;0;0;#;;-1
Item13;0;0;1;1;1;0;0;1;0;0;#;;
Item14;0;1;1;1;0;0;0;0;1;0;#;;
Item15;0;0;0;1;0;1;1;1;0;0;#;;
Item16;1;0;0;0;0;1;0;0;1;0;#;1;
Item17;0;1;1;1;0;0;0;1;0;0;#;;1
Item18;0;0;0;1;0;0;0;0;1;0;#;;
Item19;0;1;1;0;1;0;1;0;0;1;#;-1;
Item20;0;0;1;1;0;0;1;0;1;0;#;1;-1
Item21;1;0;0;1;0;0;0;0;0;0;#;-1;1
Item22;0;0;0;0;0;0;0;1;0;1;#;;
Item23;0;0;1;1;0;0;1;0;0;1;#;;1
Item24;0;0;0;0;0;1;0;0;1;0;#;;
Item25;0;1;0;0;1;0;1;0;0;0;#;1;
Item26;0;0;1;0;1;0;0;0;1;0;#;1;
Item27;1;0;0;0;0;1;1;0;0;0;#;;1
Item28;0;0;1;1;1;0;0;1;0;0;#;;
Item29;0;1;1;1;0;0;0;0;1;0;#;-1;
Item30;0;0;0;1;0;1;1;1;0;0;#;1;-1
Item31;1;0;0;0;0;1;0;0;1;0;#;1;
Item32;0;1;1;1;0;0;0;1;0;0;#;;1
Item33;0;0;0;1;0;1;1;1;0;0;#;;
Item34;1;0;0;0;0;1;0;0;1;0;#;-1;
Item35;0;1;1;1;0;0;0;1;0;0;#;1;-1
Item36;0;0;0;1;0;0;0;0;1;0;#;;
Item37;0;1;1;0;1;0;1;0;0;1;#;;-1
Item38;0;0;1;1;0;0;1;0;1;0;#;;
Item39;1;0;0;1;0;0;0;0;0;0;#;;
Item40;0;0;0;0;0;0;0;1;0;1;#;;
Item41;0;1;1;1;0;0;0;0;1;0;#;1;
Item42;0;0;0;1;0;1;1;1;0;0;#;;1
Item43;1;0;0;0;0;1;0;0;1;0;#;;
Item44;0;1;1;1;0;0;0;1;0;0;#;-1;
Item45;0;0;0;1;0;1;1;1;0;0;#;1;-1
Item46;1;0;0;0;0;1;0;0;1;0;#;-1;1
Item47;1;0;0;1;0;0;0;0;0;0;#;;
Item48;0;0;0;0;0;0;0;1;0;1;#;;1
Item49;0;0;1;1;0;0;1;0;0;1;#;1;-1
Item50;0;0;0;0;0;1;0;0;1;0;#;-1;1
Item51;0;1;0;0;1;0;1;0;0;0;#;;
Item52;0;0;0;0;0;0;0;1;0;1;#;;1
Item53;0;1;1;1;0;0;0;0;1;0;#;;
Item54;0;0;0;1;0;1;1;1;0;0;#;1;
Item55;1;0;0;0;0;1;0;0;1;0;#;;
Item56;0;1;1;1;0;0;0;1;0;0;#;;
Item57;0;0;0;1;0;1;1;1;0;0;#;;
Item58;1;0;0;0;0;1;0;0;1;0;#;;
Item59;1;0;0;1;0;0;0;0;0;0;#;;
Item60;0;0;0;0;0;0;0;1;0;1;#;;-1
Item61;1;0;1;0;1;1;0;0;0;1;#;-1;
Item62;0;1;1;1;0;0;0;1;0;0;#;1;-1
Item63;0;0;0;1;1;1;0;0;0;0;#;1;
Item64;0;0;1;1;0;0;1;1;0;0;#;;1
Item65;0;1;0;0;0;0;0;0;1;1;#;;
Item66;1;0;0;1;0;0;0;0;0;0;#;-1;
Item67;0;0;0;0;0;0;0;1;0;1;#;1;-1
Item68;0;0;1;1;0;0;1;0;0;1;#;-1;1
Item69;0;0;0;0;0;1;0;0;1;0;#;;
Item70;0;1;0;0;1;0;1;0;0;0;#;;1
Item71;0;0;1;0;1;0;0;0;1;0;#;;
Item72;1;0;0;0;0;1;1;0;0;0;#;1;
Item73;0;0;1;1;1;0;0;1;0;0;#;;
Item74;0;1;1;1;0;0;0;0;1;0;#;;
Item75;0;0;0;1;0;1;1;1;0;0;#;;
Item76;1;0;0;0;0;1;0;0;1;0;#;;
Item77;0;1;1;1;0;0;0;1;0;0;#;;
Item78;0;0;0;1;0;0;0;0;1;0;#;;-1
Item79;0;1;1;0;1;0;1;0;0;1;#;-1;
Item80;0;0;1;1;0;0;1;0;1;0;#;1;-1
Item81;1;0;0;1;0;0;0;0;0;0;#;1;
Item82;0;0;0;0;0;0;0;1;0;1;#;;1
Item83;1;0;0;0;0;1;0;0;1;0;#;;
Item84;0;1;1;1;0;0;0;1;0;0;#;-1;
Item85;0;0;0;1;0;0;0;0;1;0;#;1;
Item86;0;1;1;0;1;0;1;0;0;1;#;;
Item87;0;0;1;1;0;0;1;0;1;0;#;;
Item88;1;0;0;1;0;0;0;0;0;0;#;;
Item89;0;0;0;0;0;0;0;1;0;1;#;;
Item90;0;0;1;1;0;0;1;0;0;1;#;;
Item91;0;0;0;0;0;1;0;0;1;0;#;;-1
Item92;0;1;0;0;1;0;1;0;0;0;#;-1;
Item93;0;0;1;0;1;0;0;0;1;0;#;1;-1
Item94;1;0;0;0;0;1;1;0;0;0;#;1;
Item95;0;0;1;1;1;0;0;1;0;0;#;;1
Item96;0;1;1;1;0;0;0;0;1;0;#;;
Item97;0;0;0;1;0;1;1;1;0;0;#;-1;
Item98;1;0;0;0;0;1;0;0;1;0;#;1;
Item99;0;1;1;1;0;0;0;1;0;0;#;;
Item100;0;0;0;1;0;0;0;0;1;0;#;;-1
